,year,team,league,total_transfers_in,total_transfer_out,total_spend,total_earned,average_fee_spend,average_fee_earned,max_fee_spend,min_fee_spend,avg_season_spi,most_purchased_position,position_max_spend,position_min_spend,avg_spend_striker,avg_spend_centre_back,avg_spend_centre_mid,avg_spend_goalkeeper,avg_spend_left_winger,avg_spend_right_winger,avg_spend_def_midfield,avg_spend_left_back,avg_spend_right_back,avg_spend_att_midfield
23,2016,Crystal Palace,English Premier League,9,4,91.16999999999999,45.18000000000001,10.129999999999999,11.295000000000002,28.08,26.01,58.51,Striker,Striker,Striker,9.69,6.3,0.0,0.0,12.42,14.04,13.59,9.45,0.0,0.0
24,2016,Deportivo Alavés,Spanish La Liga,5,0,5.695000000000001,0.0,1.1390000000000002,0.0,2.86,0.0,66.59,Central Midfield,Defensive Midfield,Central Midfield,0.36,0.36,0.315,0.0,1.8,0.0,2.86,0.0,0.0,0.0
25,2016,Deportivo de La Coruña,Spanish La Liga,3,1,6.3,18.0,2.1,18.0,5.13,18.0,67.63,Goalkeeper,Striker,Goalkeeper,5.13,0.72,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0
26,2016,Dijon FCO,French Ligue 1,4,1,2.835,1.13,0.70875,1.13,1.35,1.13,53.94,Central Midfield,Right Winger,Central Midfield,0.0,0.9,0.225,0.0,0.0,1.35,0.0,0.36,0.0,0.0
27,2016,EA Guingamp,French Ligue 1,0,1,0.0,2.25,0.0,2.25,0.0,2.25,58.16,-1,Goalkeeper,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2016,Eintracht Frankfurt,German Bundesliga,5,6,3.42,10.845,0.6839999999999999,1.8075,1.08,3.15,69.81999999999998,Central Midfield,Centre-Back,Central Midfield,0.0,0.9,0.09,0.0,0.0,0.45,0.9,1.08,0.0,0.0
29,2016,Everton FC,English Premier League,7,4,77.39999999999999,54.72,11.057142857142855,13.68,26.01,50.04,70.05999999999999,Defensive Midfield,Centre-Back,Left Winger,1.62,12.6,0.0,0.9,16.965,0.0,14.175,0.0,0.0,0.0
30,2016,FC Augsburg,German Bundesliga,6,6,21.330000000000002,13.545,3.555,2.2575,9.45,5.4,63.970000000000006,Centre-Back,Centre-Back,Striker,3.6,5.175,1.35,0.0,1.35,0.0,0.0,0.0,4.68,0.0
31,2016,FC Barcelona,Spanish La Liga,6,5,112.28,30.419999999999998,18.713333333333335,6.084,33.3,16.2,96.04,Central Midfield,Central Midfield,Left Winger,27.0,22.5,33.3,11.7,0.0,0.0,0.0,14.85,0.0,2.93
32,2016,FC Crotone,Italian Serie A,9,5,5.355,6.9750000000000005,0.5950000000000001,1.395,0.9,3.6,47.09000000000002,Striker,Centre-Back,Right Winger,0.8325,0.8325,0.45,0.225,0.0,0.36,0.63,0.0,0.0,0.0
33,2016,FC Empoli,Italian Serie A,4,3,6.300000000000001,13.5,1.5750000000000002,4.5,2.07,9.0,45.32999999999999,Central Midfield,Centre-Back,Central Midfield,0.0,0.0,1.215,0.0,0.0,0.0,0.0,0.0,0.0,1.935
34,2016,FC Girondins Bordeaux,French Ligue 1,5,3,10.670000000000002,2.34,2.1340000000000003,0.7799999999999999,2.7,1.35,61.53,Central Midfield,Central Midfield,Defensive Midfield,0.0,0.9,2.7,2.25,2.25,2.57,0.0,0.0,0.0,0.0
35,2016,FC Ingolstadt 04,German Bundesliga,4,5,7.155000000000001,4.095,1.7887500000000003,0.819,3.15,2.25,57.95000000000001,Right-Back,Centre-Back,Striker,0.0,3.15,0.0,0.855,0.0,1.35,0.0,0.0,1.8,0.0
36,2016,FC Lorient,French Ligue 1,6,3,7.740000000000001,28.935000000000002,1.2900000000000003,9.645000000000001,1.8,18.0,46.85,Centre-Back,Central Midfield,Left Winger,0.0,1.5750000000000002,1.8,0.0,0.81,0.0,0.9,0.0,1.08,0.0
37,2016,FC Metz,French Ligue 1,1,1,0.36,0.698,0.36,0.698,0.36,0.698,49.72,Centre-Back,Central Midfield,Centre-Back,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2016,FC Nantes,French Ligue 1,4,4,4.5,2.3810000000000002,1.125,0.5952500000000001,1.8,0.806,54.67,Striker,Striker,Left Winger,1.8,1.17,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0
39,2016,FC Schalke 04,German Bundesliga,7,7,38.970000000000006,55.17,5.567142857142858,7.881428571428572,23.85,46.8,72.64999999999999,Striker,Left Winger,Right Winger,12.600000000000001,7.2,0.0,0.0,0.0,1.26,0.0,0.45,3.6,0.0
40,2016,FC Toulouse,French Ligue 1,5,2,11.7,9.0,2.34,4.5,5.4,8.55,58.52999999999999,Striker,Striker,Centre-Back,3.375,2.52,0.0,0.0,0.0,1.8,0.63,0.0,0.0,0.0
41,2016,Genoa CFC,Italian Serie A,13,7,24.48,45.269999999999996,1.883076923076923,6.467142857142856,5.22,16.2,56.589999999999996,Left-Back,Striker,Central Midfield,4.59,0.945,0.18,0.0,0.63,0.0,0.0,3.375,0.0,2.25
42,2016,Granada CF,Spanish La Liga,5,4,10.415000000000001,28.44,2.083,7.11,3.62,13.5,49.62,Right Winger,Left Winger,Goalkeeper,3.62,1.62,0.0,0.9,0.0,2.1375,0.0,0.0,0.0,0.0
43,2016,Hamburger SV,German Bundesliga,10,7,39.555,7.335,3.9555,1.0478571428571428,12.6,4.23,60.52000000000001,Striker,Left Winger,Left Winger,2.385,1.0350000000000001,0.0,0.72,6.6825,0.0,8.28,5.85,0.0,4.5
44,2016,Hertha BSC,German Bundesliga,2,4,6.029999999999999,4.5,3.0149999999999997,1.125,3.78,2.7,70.56,Right Winger,Attacking Midfield,Central Midfield,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,3.78
45,2016,Hull City,English Premier League,9,3,36.0,26.009999999999998,4.0,8.67,13.86,10.8,47.6,Central Midfield,Central Midfield,Left Winger,1.08,1.17,9.315,3.69,4.14,0.0,0.0,0.0,0.9,2.25
46,2016,Inter Milan,Italian Serie A,12,7,143.6,16.65,11.966666666666667,2.3785714285714286,36.0,5.22,74.3,Striker,Central Midfield,Striker,11.080000000000002,9.63,18.9,0.0,0.0,19.8,4.5,8.235,0.0,0.0
47,2016,Juventus FC,Italian Serie A,9,17,176.22,159.237,19.58,9.366882352941175,81.0,94.5,84.71000000000001,Defensive Midfield,Central Midfield,Striker,81.0,9.9,0.0,0.0,20.7,5.4,14.940000000000003,0.0,4.5,0.0
48,2016,LOSC Lille,French Ligue 1,6,7,18.63,42.300000000000004,3.105,6.042857142857144,6.3,16.83,60.0,Centre-Back,Left Winger,Central Midfield,4.05,2.475,0.18,0.0,0.0,6.3,0.0,0.0,0.0,3.15
49,2016,Leicester City,English Premier League,6,6,82.44000000000001,59.449999999999996,13.740000000000002,9.908333333333333,27.45,32.22,62.820000000000014,Defensive Midfield,Central Midfield,Centre-Back,27.45,0.0,0.0,3.15,17.55,0.0,14.895,0.0,0.0,4.5
50,2016,Liverpool FC,English Premier League,4,9,71.91,76.842,17.9775,8.538,37.08,28.08,81.13000000000001,Central Midfield,Left Winger,Goalkeeper,0.0,4.5,24.75,5.58,37.08,0.0,0.0,0.0,0.0,0.0
51,2016,Manchester City,English Premier League,10,5,193.50000000000003,31.82,19.35,6.364,50.04,12.15,86.02,Left Winger,Centre-Back,Centre-Back,28.8,25.11,24.3,10.215,22.650000000000002,0.0,0.0,1.8,0.0,0.0
