,year,team,league,total_transfers_in,total_transfer_out,total_spend,total_earned,average_fee_spend,average_fee_earned,max_fee_spend,min_fee_spend,avg_season_spi,most_purchased_position,position_max_spend,position_min_spend,avg_spend_striker,avg_spend_centre_back,avg_spend_centre_mid,avg_spend_goalkeeper,avg_spend_left_winger,avg_spend_right_winger,avg_spend_def_midfield,avg_spend_left_back,avg_spend_right_back,avg_spend_att_midfield
246,2017,UD Las Palmas,Spanish La Liga,23,22,0.315,23.130000000000003,0.013695652173913043,1.0513636363636365,0.315,11.25,57.42000000000001,Striker,Central Midfield,Centre-Back,0.0,0.0,0.0,0.0,0.07875,0.0,0.0,0.0,0.0,0.0
247,2017,US Sassuolo,Italian Serie A,14,32,31.950000000000003,17.325000000000003,2.2821428571428575,0.5414062500000001,6.3,9.0,57.61999999999998,Central Midfield,Central Midfield,Centre-Back,1.35,3.0,3.6,0.0,0.225,2.7,0.0,0.0,6.3,0.0
248,2017,Udinese Calcio,Italian Serie A,15,37,20.332,15.929999999999998,1.3554666666666668,0.4305405405405405,4.95,5.4,60.150000000000006,Centre-Back,Attacking Midfield,Left-Back,2.475,0.9430000000000001,2.25,0.0,0.0,0.675,1.8,4.05,0.2925,0.0
249,2017,VVV-Venlo,Dutch Eredivisie,14,19,0.0,0.0,0.0,0.0,0.0,0.0,28.68,Striker,Goalkeeper,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,2017,Valencia CF,Spanish La Liga,23,23,49.5,14.895,2.152173913043478,0.6476086956521739,14.4,5.4,75.94000000000001,Striker,Striker,Left Winger,3.6,2.7,0.0,2.1,0.0,0.9,12.6,0.0,0.0,2.7
251,2017,VfB Stuttgart,German Bundesliga,16,16,27.810000000000002,6.84,1.7381250000000001,0.4275,5.4,2.7,60.99,Striker,Left Winger,Left Winger,2.1,0.0,1.62,1.98,2.0100000000000002,0.0,1.8,2.25,2.25,0.0
252,2017,VfL Wolfsburg,German Bundesliga,20,21,66.38,32.4,3.319,1.5428571428571427,15.3,13.5,66.35,Striker,Centre-Back,Striker,6.1875,4.725,0.0,0.0,0.0,1.69,13.5,0.0,2.925,0.0
253,2017,Villarreal CF,Spanish La Liga,17,17,41.49,60.57,2.440588235294118,3.5629411764705883,12.6,36.0,71.67,Striker,Striker,Left Winger,3.735,6.3,0.0,1.8,0.0,0.0,0.675,0.0,0.0,10.8
254,2017,Vitesse Arnhem,Dutch Eredivisie,15,15,4.005000000000001,18.990000000000002,0.26700000000000007,1.2660000000000002,1.35,6.48,47.92000000000001,Attacking Midfield,Striker,Central Midfield,0.0,0.0,0.0,0.405,0.45,0.9,0.225,0.0,0.675,0.0
255,2017,Vitória Guimarães SC,Portuguese Liga,24,21,7.12,7.38,0.2966666666666667,0.3514285714285714,1.8,3.6,44.75,Centre-Back,Right-Back,Centre-Back,0.45,0.36,0.0,0.0,0.0,0.745,0.79,0.0,0.0,0.15
256,2017,Vitória Setúbal FC,Portuguese Liga,32,28,0.0,1.9800000000000002,0.0,0.07071428571428572,0.0,1.35,36.57999999999999,Defensive Midfield,Centre-Back,Right Winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,2017,Watford FC,English Premier League,32,31,64.25999999999999,16.866,2.0081249999999997,0.5440645161290323,18.36,5.85,58.559999999999995,Striker,Striker,Goalkeeper,4.217142857142857,0.0,5.52,0.702,0.9,1.8,1.4175,1.35,0.0,0.0
258,2017,West Bromwich Albion,English Premier League,17,11,48.14999999999999,1.85,2.8323529411764703,0.16818181818181818,13.68,1.58,54.13000000000002,Centre-Back,Right Winger,Centre-Back,6.960000000000001,1.1700000000000002,0.0,0.0,0.0,6.84,0.495,6.75,0.0,0.0
259,2017,West Ham United,English Premier League,17,24,51.120000000000005,62.12,3.007058823529412,2.5883333333333334,20.07,20.52,56.13999999999999,Striker,Left Winger,Centre-Back,11.3175,0.0,0.27,2.07,2.7,0.0,0.0,0.0,0.0,0.0
260,2017,Willem II Tilburg,Dutch Eredivisie,20,17,0.203,0.135,0.010150000000000001,0.007941176470588236,0.113,0.135,30.349999999999994,Centre-Back,Defensive Midfield,Right-Back,0.0,0.0,0.045,0.0,0.0565,0.0,0.0,0.0,0.0,0.0
261,2017,Wolverhampton Wanderers,English League Championship,34,33,22.153000000000002,5.688,0.6515588235294119,0.17236363636363636,16.11,3.42,47.67999999999999,Striker,Defensive Midfield,Centre-Back,0.225,0.45,0.0855,0.0,0.0,0.0,5.37,0.515,0.0,0.0
262,2017,Zenit St. Petersburg,Russian Premier Liga,17,20,85.05,14.148,5.002941176470588,0.7074,20.7,6.3,69.51000000000003,Striker,Defensive Midfield,Central Midfield,0.51,7.2,2.19,0.0,13.5,8.1,13.95,4.05,1.8,0.0
263,2018,1.FC Nuremberg,German Bundesliga,11,9,4.365000000000001,0.0,0.3968181818181819,0.0,2.7,0.0,53.98,Striker,Right Winger,Central Midfield,0.225,0.0,0.0,0.225,0.0,1.5750000000000002,0.0,0.0,0.09,0.135
264,2018,1.FSV Mainz 05,German Bundesliga,19,12,27.0,50.49,1.4210526315789473,4.2075000000000005,7.2,25.2,60.53999999999999,Striker,Centre-Back,Central Midfield,2.25,2.7,2.25,0.0,0.0,0.0,0.0,1.35,0.0,1.575
265,2018,AC Milan,Italian Serie A,13,26,169.01999999999998,76.14,13.00153846153846,2.9284615384615384,34.56,31.5,75.15000000000002,Striker,Attacking Midfield,Central Midfield,20.31,31.5,0.0,0.0,4.95,19.17,2.25,6.705,0.0,17.28
266,2018,ACF Fiorentina,Italian Serie A,20,42,51.407,36.778999999999996,2.57035,0.8756904761904761,8.78,20.25,70.68000000000002,Centre-Back,Striker,Central Midfield,0.8866666666666667,5.3,1.3973333333333333,2.4,0.93,0.675,3.15,0.0,1.44,8.1
267,2018,ADO Den Haag,Dutch Eredivisie,9,10,0.0,2.07,0.0,0.207,0.0,2.07,38.330000000000005,Striker,Striker,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,2018,AFC Bournemouth,English Premier League,17,16,80.19,18.18,4.7170588235294115,1.13625,25.2,10.26,65.69,Striker,Defensive Midfield,Goalkeeper,6.359999999999999,6.12,0.0,0.0,0.0,5.085,25.2,13.5,0.0,0.0
269,2018,AS Monaco,French Ligue 1,38,29,133.965,297.235,3.5253947368421055,10.24948275862069,27.0,130.5,62.959999999999994,Defensive Midfield,Striker,Left-Back,0.21600000000000003,1.125,1.6199999999999999,0.0,9.6,0.675,3.897,3.78,5.85,9.0
270,2018,AS Roma,Italian Serie A,15,46,147.69999999999996,135.41989999999998,9.846666666666664,2.943910869565217,37.8,56.25,76.73999999999998,Attacking Midfield,Goalkeeper,Defensive Midfield,25.65,0.0,4.5,4.05,15.53,0.0,23.99,0.0,8.55,10.56
271,2018,AS Saint-Étienne,French Ligue 1,17,21,13.5,16.830000000000002,0.7941176470588235,0.8014285714285715,6.3,5.4,64.73999999999997,Striker,Striker,Centre-Back,2.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,5.4
272,2018,AZ Alkmaar,Dutch Eredivisie,15,15,6.125,27.203,0.4083333333333333,1.8135333333333332,2.07,17.1,60.09999999999999,Central Midfield,Right Winger,Left Winger,1.035,0.36000000000000004,0.37666666666666665,0.1125,0.0,0.81,0.0,0.0,0.0,0.0
273,2018,Ajax Amsterdam,Dutch Eredivisie,10,12,45.59,15.799999999999999,4.559,1.3166666666666667,14.4,15.53,82.55999999999999,Centre-Back,Left Winger,Left-Back,0.0,7.5,0.0,0.0,8.844999999999999,0.0,0.0,0.0,0.0,2.7
274,2018,Amiens SC,French Ligue 1,21,27,6.734999999999999,9.0,0.3207142857142857,0.3333333333333333,3.6,7.2,53.37,Left-Back,Central Midfield,Central Midfield,0.0,0.0,0.225,0.0,0.765,0.96,0.0,0.0,0.0,1.2
